,name,user_rating,title,user_review
69,J Smith,1.0,This is not 5-star quality,  Very cheaply made. You can't even rotate the display so you can read it on someone's finger. Even cheaper ones have the option or even have an auto rotating display. The hing feels like it will snap at any second when using. I am returning it. The $7 version I previously purchased seems to exceed this in ever aspect. Skip this and buy something else.
70,Richard Vander Meide,5.0,Very Nice Pulse Oximeter. Great Value,  The SantaMedical SM-519BR-BL Pulse Oximeter I ordered from Amazon.I found it to be an exceptional device and of great value.I especially like the PI Index feature indicating the Perfusion Index and found it to be a noteworthy function.I also like that the graph is auto calibrating and the readings are accurate.Thank you for a great product.Sincerely;A Happy Customer
71,Delaware Don,5.0,Great O2 Monitor,"  Great O2 monitor and definitely something good to have around in case you get sick these days.  Display is easy to read and has good contrast, though the letters and numbers are a bit small.  You can see it updating as you wear it and the heart data matches other methods of measuring pulse.  This unit looks just like the ones used by my General Doctor."
72,CC,5.0,Easy to use,"  This shows pulse as well as oxygen and has a heart beat line as well. Only quibble is the information with it doesn't tell what the PI% means. Have to look that up elsewhere. (Perfusion index: pulse strength at the point it is being taken, .02 (weak) - 20 (strong), in case you wondered. If its weak, try a different finger!"
73,SPera,1.0,Turns off without giving reading,  It only worked 3 times. It doesn’t give a reading it stays on thinking mode and then turns off.
74,SpringIsBACK,4.0,Readings seem consistent.,"  The readings made by this Santamedical Dual Color OLED Pulse Oximeter have been consistent for myself (98-99) and for other family members (usually 99).  We had no problem with varying finger sizes, although I am unsure of the fit to very large fingers.  None of us use nail polish, so we could not judge any effect from that. The unit is easy to use, except the display characters could be a little bigger.  If I get a chance to compare accuracy to a ""professional"" Oximeter, I will update this review."
75,Rudy,2.0,Not accurate or sturdy build...,  I bought this for my parents I'm comparing to another brand I purched off Amazon but this device has such a poor build quality...everything from the plastic to the spring hinge just look like it won't last one small drop..it works ok if you have normal size fingers but it will give you about 30 seconds of wrong readings before it's close to what looks normal.  My dad has large hands and thick figures and it would just not even read his vitals. The measuring device wasn't strong enough to detect his oxygen or pulse...it was just blank...I would pass on this...not sure why it's amazon choice
76,mec526,5.0,Highly recommend,  I purchased this about a month ago and use it several times a day.I have to keep track of both of my oxygen and my heart rate. This works very well for me.I have had several and the Santa Medical is my favorite.  I highly recommend this one as my readings compare well with my Doctor's.
77,C.S.,3.0,Not as accurate,  Not as accurate as I thought. I wounded up going to the hospital for Covid and they also have a finger oximeter and the reading was completely different than mine. I argued w/ them because that’s not what i was getting on mine so they went & got a different one & there’s were the same reading yet mine was off.
78,Tuna,5.0,Check your oxygen level this makes it easy,  After a family member was diagnosed with heart failure it was storming recommended that they check their blood oxygen levels periodically. This device has made it possible. I have no standard against which I could check it for accuracy but it did seem to agree with the doctors oximeter when at his office.2
79,Cinder,1.0,Oximeter does not Give Reading!,  Received and it does not give readings at all. It come on trying to work then it shuts itself off. I paid the higher price for it believing SantaMedical made quality Oximeter.  Very Disappointing!
80,sara,1.0,Very wrong readings,"  Very wrong readings. My phone reads better, it keeps messing up my reading, and i test on different devices as well as manually, and this usually gives really off reading"
81,GD King,4.0,A little slow,"  I had a different brand before this one that gave the results faster.  This one is a little slow to wait for results, and the readout is kinda small.  I am going to look back in my Amazon orders and buy another of the one I had last time, which I gave to my dad to monitor his COPD oxygenation."
82,David Paule,2.0,"At Best, This Is So-So.","  The display has small, jagged digits which are hard to read. There's no provision to change the direction the display is oriented to. Threading the lanyard through the tiny holes is an exercise for magicians. I eventually used a shop magnifier to help. The lanyard itself is slightly short and a bit too wide but otherwise functional.On the other hand, the unit is light weight and easy to use. The reading matches that of my other, better unit.There have got to be better units out there and it's worth paying a bit more for one. Keep looking."
83,Empowered x1000,5.0,Santamedical Pulse Oximeter,"  I have never owned any other pulse oximeters. This is my first. So I can't really measure the performance of this oximeter to others I've had in the past. But so far, it seems accurate. It's easy to use with a display that provides detailed info. And it comes with a handy carrying pouch. I'm happy with it."
84,Hector,3.0,Pulse not very accurate! Oxygen not sure? Not recommended!,  Pulse is not very accurate. My heart rate reads at 44-49bpm. The app on my iPhone is more accurate because I compared it to the hospital monitor when I was there for a few days. Oxygen reading bounces around too much so I am very skeptical about its accuracy! I am not happy with this product!
85,Jacob Pike,3.0,Oxygen monitor works great But....,"  The oxygen sensor appears to be very accurate and shows instantaneous changes in oxygen level, however, the heart rate monitor does not show instantaneous changes in heart rate like my old Santa Medical oximeter did. This monitor shows one heart rate and calculates some percentage value that I don't quite understand."
86,C. Olson,5.0,Bright and easy to read,  The display is large and easy to read in normal room light or in the dark.  The price was a pleasant surprise too!  Some time ago I bought an oximeter with a plain LED display ( no light)  and payed more for it.  This is the same kind they use in the doctors office.  MUCH better than my old one.
87,Johnny Vegas,5.0,Peace of mind,"  Bought this while battling Covid caused pneumonia, at home. My oxygen was 84 when I went to the doctor. He suggested ER. I didn't want to do that, so I bought this and kept an eye on my oxygen. It never went lower, and as it rose I was a lot les concerned! And so was the wife. This is worth having for sure."
88,Rik,5.0,Exactly what I wanted,"  I ordered this oximeter because it wasn't full of all sorts of things either I wouldn't know its purpose/interpretation and would be very easy to use. It didn't hurt that it was also on sale. Unless one needs to know more than their Sp02, pulse rate and perfusion index, this device should more than suffice and won't break the bank."
89,A. Lee Bennett Jr.,1.0,"Good for a week, then display garbled","  Product received and worked well for about 6 days, then suddenly the display only showed garbled patterns. Attempted complete battery replacement to no avail. Amazon offered refund since it wasn’t eligible for return. Will seek a different brand."
90,Jj Florida,5.0,Great product,"  I have been using this product to keep checking our numbers. I concentrate on the oxygen levels and it seems to be very consistent.  Hopefully, we will never need it detect lower levels, but I wish we had this in March when we were fighting covid- like illness but could not get tested.  I'm not in the medical field to confirm its accuracy, but it's been very consistent for us."
91,Karen,4.0,works fine,"  It works as well as my old one.  The only downside is the ribbon used on the ""lanyard"" .  It connects to the container rather than the oximeter itself.  My old one had the lanyard attached to the oximeter itself and wasn't made from ribbon which probably won't be very longlasting."
92,KOMHURLB,3.0,"Santamedical Dual Color OLED Pulse Oximeter Fingertip, Blood Oxygen Saturation Monitor (SpO2)","  BEWARE! The PulseOx - Oxygen analyzer - is NOT accurate. I bought this to monitor a family member's oxygen level due to COVID. It is NOT accurate. The heart rate is accurate though. If you only need to monitor heart rate, this works well. Do not buy this if you need an accurate oxygen analysis."
93,Patrick T. Narcisi,5.0,Reliable,"  I use it to check in each day with my health care provider.  It appears to be accurate.  It is well-made, light, and easy to use."
94,Gravity,4.0,Easy to use,"  I like this little pulse oximeter, it is easy to read. The only thing that bothers me about it is that it jumps around a lot with its readings. This makes me wonder about the accuracy I guess. It will jump from 97% to 95% to 96% all within a few seconds... maybe this shows it is very sensitive? Not sure... but it is easy to read."
95,Prime  Customer,4.0,Instructions were not clear for some readings,"  We like the ease of use. We were going through Covid and needed to know our oxygen levels daily.  I understood that reading, the pulse reading, but I never could find out in the instructions what the last lower reading meant in plain English.  The unit is excellent otherwise."
96,Eric Haag,5.0,Complete data,  I have on several palsy oximeter‘s and this one appears to be of the higher quality of those I have used. I really appreciate the accuracy measurement on it as well as the oxygen and pulse capabilities. The case it comes in is very durable and will be great when we travel.
97,shannon r.,5.0,"Just what I needed, my Santamedical Dual Color OLED Pulse Oximeter Monitor","  I got interested in this device as I realize the importance of monitoring my oxygen levels after going to the doctor and found out I was wheezing and my oxygen level was low and especially with the covid-19 pandemic, its very imperative to monitor one's oxygen level. Very easy to use and the carry case its just ideal, its size allows it fit easily in any handbag pouch with ease. The reading is instant. Very pleased with this item!!"
98,DaveTheCoffeeGuy,3.0,Quit working after 2 months,"  I had Covid so I bought this to keep an eye on my pulse rate and worked very well.. Took it out of the drawer two months later and it didn't work. Tried new batteries and still nothing.. I have not tried to get support yet, waiting on some fresh batteries to make sure.."
99,Denise,5.0,Easy to use,"  Easy to use, compact and light. Easy read out. Good price also."
100,Amazon Customer,5.0,Great price,"  Works perfectly and came with a nice pouch to keep lint out. Never buy these at retail stores because they will charge you twice as much. As a nurse,  I go through a lot of these. I always purchase from Amazon. Haven’t been disappointed by one yet."
101,Annie,1.0,A huge disappointment,  It worked once shortly after I got it. The next week I had to put in new bats. It still didn't work. Pitched it out.
102,Carl David,4.0,Just right,"  This device is easy to set up and use. It reports %oxygen saturation and pulse rate on the face of it accurately. It comes with a cord that allows one to keep the device connected around your neck.It works great in that the results are instant, easy to read, and require only 2 x AAA battery power.I like the large size of the numerals on the monitor because I can read them without my glasses. It’s nice also that the power shuts off a few seconds after use so the batteries should last a long time.The fine prints are hard to read I wish there is a video link tutorial on how to follow in a more user-friendly manner"
103,Ray,5.0,Great Product!,"  Had this item recommended to me and I am glad I got it.  I needed an easy to use, accurate device to give me my heart rate so I could tell if I was exercising in the right zone.  I actually found from the initial reading I was working harder than I needed and now I pace myself much better."
104,Condor 27,5.0,VERY CONVENIENT,"  I just received this item.  It is compact, came with the batteries, a lanyard and a nice case for it.  I have already used it today and it appears to be very accurate and in sync with another oximeter on my watch. Very happy with this item."
105,Mb & Chad,5.0,Great tool!,"  Works great, but dark nail polish can give inaccurate results. I haven’t had my nails done this entire pandemic and I hate cutting them myself because then they peel. So, after I couldn’t get an accurate reading on this, I cut my nails down & repainted a lighter color, now it works fine.Stay safe everyone!"
106,Ravi,5.0,Accurate compared with Apple watch and bicep cuff blood pressure machine,"  Picked this up with the whole COVID stuff causing O2 abnormalities. Came in handy when I was hit with a COVID scare. Compared this with Apple watch and a blood pressure machine I have. Heart Rate is spot on with both of them. 1-3bpm variation due to timing of each machine, but that's expected."
107,Alexandra Brennan,5.0,Blood Oxygen Reader A Must,"  My husband tested positive for Covid and had a very low oxygen level which can produce clots and be fatal.  He uses this great little reader each day to keep things in check.  After a certain age or when fighting a bronchial cough, this reader will monitor levels and help the user make a decision if they should seek medical attention."
108,eskimodoc,5.0,great  brand,"  we already had an older version but got a second one for hikes, family members... This is less expensive than the first, but works just as well...solid signal, pulse accurate (which means it is getting a good read), and sats are making sense and consistent"
109,Maj Mack,5.0,Don't be without one Covid-19 is real!,"  Very easy to use right out of the box. Read instructions, put in batteries, used it on my wife and myself. We purchased this because a friend that is hospitalized with Covid-19 and one of the first symptoms was low blood oxygen. We decided this would be a good investment in today's environment."
110,gac914,5.0,This thing is VERY impressive!!,"  Right out of the box, this meter works and looks great! Comes with a really nice ballistic nylon case. (One of) the things that's really nice is it takes simple, AAA batteries. No hunting around for some obscure ""button battery."" It works fast, has a very readable screen, and the shipping was ultra-fast!!"
111,Chad H,5.0,Works well,  This product arrived in a timely manor and works well. I've owned it for a few months now and can say that it will probably give me future trouble free operation. I would recommend it to somebody looking to purchase one of these.
112,Jayareos,3.0,Accuracy,  I did not like the fact that it is always-2 for the oxygen sensor. Is it even tells you in the manual. Compared it with other Devices and this one was always 2 to 3 points above what it really was.
113,Carolyn,1.0,Does not read  through finger nail polish,"  This product does not read through finger nail polish and it has a block in front so it does not work with long nails either.  My husband tried it and it works for him, but it is very slow to read."
114,E. M. Nacoya,3.0,Too slow.,"  It takes too long to read. I purchased another years ago and I should have sent this one back, it was a backup but not much use to me. I would not recommend it, simply because it does not suit me."
115,Darnell,5.0,Santamedical Dual Color OLED Pulse Oximeter,"  Slip it on the fingertip, press button, then receive accurate results in 5 - 7 seconds.  I verified pulse rate against my blood pressure monitor and the santamedical was within one or two beats every time."
116,Sandy Vestal,5.0,Great Value,  This is a great product for the price and is efficient and accurate.  I compared it to the reading from one used at a doctor's office within minutes and they were the same. Considering local stores wanted 39.00 for one (different brand) I was very pleased with the purchase and recommend it if you are in need of one.
117,Joe B,5.0,Love it,"  Got it due to this whole COVID thing, actually got COVID and it was really helpful to measure my O2 quickly when I would panic and think I was out of breath, turns out I was not, just panicking, but the device is quick and easy to use."
118,bluebonnet1109,5.0,Works Well,"  Reads color of blood in skin.  If Push finger against wall skin turns white, no blood. Same here. DO NOT PRESS, Insert finger GENTLY, hold finger Up in air, DO NOT TOUCH WITH OTHER HAND. HAND MUST BE WARM WARM. WORKS WELL."
119,pushfrog5,5.0,Worth it,  This was well worth the money for the reduction in anxiety. I work as a nurse and having the ability to check vitals on my loved ones at home is totally worth it. This seems accurate and I like that it has a waveform to show if the reading is a true reading. We gauge accuracy by the waveform at work so having a waveform to check is really nice. Easy to clean and has a case which is nice. Especially with COVID this has been great to have as a check on how loved ones are doing without having to go to a clinic.
120,Bob Jones,5.0,Easily obtains a reading.,"  Our other O2 sensor was highly reviewed like this one, but was not as good at picking up a pulse and a reading. I especially like the continuous graph for the pulse strength readout."
121,Susan K. Gotthelf,5.0,Easy to use,  I liked this Santamedical pulse oximeter...easy to use and it does not fall off my finger....Only thing I was disappointed in was the cheap satchel to keep it in and the flimsy ribbon attached to device.....that could certainly use some cosmetic improvements.
122,Kevin M.,5.0,Precise when compared to hospital medical equipment.,  The display shows all you need for O2 and more. It even tracks that it's placed correctly.
123,Bob M,2.0,Unreliable,"  I normally don’t write reviews but thought I should warn the public. The first issue I have is I rarely get any data on the screen when I use it. I’ve used multiple fingers and it feels like I won a game whenever I see actual “numbers”.  Second issue, if I do get data , I’ll get unreliable numbers as seen in picture. I’m not a rabbit...."
124,customer,4.0,Good,  It was pretty easy to use but then you have to look at the instructions. I hate that you have to turn up button on to get it to work. It tells you to use it on a different finger than your first finger. It is a little bit difficult to read but not horrible. I kept it because it is good enough. The readability is the biggest issue other than that it's pretty good
125,JJ,5.0,very cool and useful device,"  this little thing is awesome.  For less than twenty bucks, to get this biofeedback, that is not only useful for diagnosing issues, but also just plain good to know about the way your body is working is just cool.  I check my stats multiple times a day just to make sure everything is working correctly.  It only takes like 5 -10 seconds - why not?!"
126,David G,5.0,Feeling a Little More Secure,  My partner has developed some minor heart issues. She checked the Pulse Oximeter when she went to her doctor and found it almost Spot On. Now we have a Great Way to assist us at home for both of us.
127,Glenda J Zinsitz,5.0,"Good price, quality and accurate instrument, and fast delivery.","  Even though it says it is not intended for medical use, I am a nurse and it works wonderfully, and I like seeing the plethysmograph wave form, and the perfusion index. My own primary care provider told me to get a pulse ox for my asthma, and allergy problems with oak pollen, to do occasional oxygen sat checks. This fits my needs! When I do physical exertion, it helps to know my sats do not go to low. Thanks!"
128,Shellie Stinson,2.0,Extremely flimsy,  A lot of fluctuations in the readings. Not well made. Broke easily.
129,Derrick,5.0,Definitely worth the purchase.,  Works great me and my wife had Covid-19 so I ordered this to watch our oxygen and it saved my wife life as her oxygen dropped to 86% and I was able to get her to the hospital in time
130,Tripp,5.0,Pretty accurate,  I’ve had couple of these and this one by far is the best. Easy to read & pretty accurate. Only complaint is mine was missing the battery cover but I just put tape over it.
131,brianna webster,5.0,Absolutely would recommend.,  This is our 2nd one we have bought. Our 1st we gave to my father when he had covid and it was fantastic. My husband is a PE survivor and we keep track of his O2 levels. It is extremely accurate.
132,Linda Z,5.0,O2 sensor is imperative to have if dealing with patients that have pneumonia or severe Covid-19.,"  My husband had Covid-19 and dealt with low O2 levels so I relied on this one and one I already had. It was because I was watching his O2 levels that I made a decision to bring him into ER for a third time. They had dipped down to 85 and lower. He was admitted for 2 days and released with oxygen for two weeks, which helped him overcome the problems he was having. Used the O2 sensors dozens of times for 4 weeks."
133,Mystic Daizy,5.0,Easy to read Display,"  After my son got out of the hospital with covid-19 we needed one of these to monitor his o2. Arrived quickly and able to use it soon as he was home. Quick read, easy bright display."
134,art albert,1.0,UNRELIABLE READINGS,"  Pulse readings were grossly unreliable. Sometimes ridiculously low, sometimes way high. Oximeter readings were highly variable (87, then five minutes later 98). Often I would press the button, insert finger and the display would light up, appear to be computing and give no reading at all. Junk!"
135,Jczarnec,5.0,Fast and Accurate,"  It only takes a few seconds to get readings.  The numbers are easy to read in daylight or in darkness.  The pulse rate is accurate; I have no way to check the accuracy of the oxygen level.  The number does rise slightly when I do deep breathing, and then goes back down after a while to the original number, so it appears to be working.  I am very happy with this device."
136,Ed L. Stephas,4.0,Great value.,  So far so good.  Granted I've only had this product for a few hours it is easy to use>  My only complaint thus far is that the directions do not describe what the PI% means - although I did a quick Google search and figured it out.
137,Ash,5.0,Works well,"  I tested this as follows. Exhaling all air from my lungs and then holding my breath until I need to breathe: reads at 90 then slowly climbs to 99 as I start breathing. Start with full breath at 99 and then abruptly hold my breath for as long as I can: plunges from 99 to 95 to 90, then slowly climbs to 99 when I breath. And slowly exhaling: slowly goes from 99 one to two points at a time until 90, then slowly climbs to 99 when I breath."
138,Lavelle W.,3.0,Battery compartment,  Loved it readings are great  an clear my only complaint  is the battery compartment the cover is loose won't stay on will fall off other than that it's a great prodict
139,CyberSOFT Creative,5.0,Easy to use and reasonably priced,  I have no point of reference for the O2 reading to determine accuracy. However the heart rate reading is within a couple of points of the blood pressure machine I have
140,kittypoo m,5.0,Great accuracy,  To have one of these while trying to recover at home from the Covid-19 made a big difference.  I could check my oxygen levels at anytime and my pulse.  This is a must have in every home.  Good price and great accuracy.
141,CrhRN,5.0,Perfect! Works great!,  Bought this for my Dad when he got covid. I don't live nearby so I needed to be able to check on him. He sent me frequent pictures of his O2 sats to keep me updated!
142,EC,5.0,Reads oxygen level like the pros!,  Got hit with Covid and this instrument was instrumental in helping monitoring not only mine oxygen but my mother in laws oxygen level. My mother in law got her own and we both use it regularly on our road to recovery. As an asthmatic I find it very helpful managing my oxygen level also.
143,James Gracely,5.0,"Good, simple pulse oxygen meter",  Very nice product that does just what it claims. We measured this and another brand against the pulse ox meter at a clinic and this one was spot on. Great little product to have around in this time of worry.
144,Jeff,5.0,good item,"  This seems to do the job just fine - did use a YouTube video to help clarify some of the aspects of it - figured things out and keep it on hand to use when needed,"
145,Jessie D.,5.0,Excellent,  ! I’ve heard it’s important to have a pulse oximeter  especially during this time of Covid. This is an excellent one! I am very pleased with how easy it is to use and read.  I will be buying a second one for my parents!
146,ann mingerink,5.0,Top notch pulse oximeter,"  This pulse ox lives up to its description.  After fast arrival, it was put to immediate use and delivered quick results of my husband’s oxygen and heart rate.  The one we had recently bought gave wrong information, so we were very happy to find this oximeter giving consistently correct readings. We are quite pleased with this product and highly recommend it!"
147,Glenda Robles,5.0,Check your levels!,"  So a funny thing happened, I got covid. Wife was being pain about making sure I was going to live, so she bought this item to check my levels every few hours. I made it though it and this little thing worked like a charm. Jokes on her, she caught it and made it."
148,Bobby,4.0,Easy to use and good quality,  The OLED screen is clear and easily read. Accuracy seems good but I haven't yet compared it to my doctors test unit. It is erratic when used on a finger with nail polish so users of nail polish should be aware of this otherwise excellent device.
149,Sba,5.0,It’s very lightweight,  Looks nice but very lightI expected it to be heavier. I haven’t washed it yet. I hope it will hold up. If it doesn’t I’ll return because they said it was washable.
150,Nancy D.,5.0,Easy to use and accurate.,"  As some others have said, it’s a good idea to check your blood oxygen level in these COVID times.  The reading was the  same as the one at my doctor’s office.  It’s very easy to use, and batteries were included."
151,Denise21,2.0,"Display Scratched/Scuffed, Feels Cheaply Made","  This pulse ox came with a case, 2 AAA batteries, lanyard, manual, & a registration card. Product box appeared sealed but it has scuff/scratch marks on the display of the pulse oximeter. Was this used?? It feels light in the hands (like a cheaply made plastic toy) even with the batteries installed, hinges felt like it was going to fall apart. I wasn't expecting it to be 'heavy' but I prefer the weight of a sturdy/well made pulse ox. I can't say if it operates as it should as I plan to return this item if it's not too much of a hassle."
152,Dog Mom,1.0,Complete Garbage,  I purchased this item to monitor my levels while I am sick. Used it once and it worked well. Tried it again and nothing. It turns on but doesn’t do anything then turns itself off. Total waste of money. Buyer be ware. Non-returnable.  Shop elsewhere!!
153,Robert 60,3.0,It works.,"  Pulse Fingertip , it’s ok , but it’s cheap made . Works great .But I don’t like how cheap it feels.But for the price I guess I can’t complain. Lol"
154,CapeCoral,5.0,This is the Oximeter you want!,  I received this two days ago and it is so easy to use and gives peace of mind when wanting to know you heart rate and oxygen levels.  I recommend this to everyone.
155,Kindle Customer,5.0,Great purchase,  Bought this for my adult daughter that has severe asthma. With pandemic going on I needed peace of mind of her breathing.  Wish I had purchased it years ago!
156,R. Marko,5.0,Nice pulseox meter,  Seems like a good product. I had a different one from another company which did not have a replaceable battery. This one takes 2 AAA batteries which I like.
157,JC,5.0,Great buy!,"  I've purchased 3 of these for family members, and all are quick, accurate, and easy to use.  I appreciate the lanyard and protective case.  I use this in my morning screening routine, along with using a forehead thermometer.  Worth the money for peace of mind!"
158,CK,5.0,"Excellent, Accurate Pulse Oximeter","  After having to return one for inaccuracy, I was so pleased that the Santa Medical Oximeter worked correctly the minute I turned it on.  And it has a battery reading as well.  Very satisfied with this product!"
159,Tara,2.0,Definitely don’t recommend,"  The readings seem to be accurate and easy to read but I’m unsatisfied with the quality of the pulse ox. It appears to be made of cheap flimsy plastic and the hinges aren’t tight, making the two parts slide around when opening it."
160,BrendaY,2.0,varies,  It takes a long time for info to come on screen and then the figures bounce up and down i.e. O2 will show 99 then drop to 92 then jump up to 96.  Not consistant.
161,Rjich01,5.0,Excelente producto,"  Excelente producto, muy fácil de usar se apaga al quitarlo del dedo a los 10 segundos , por lo que ahorra batería , casi tan preciso como el del hospital"
162,Richard P,5.0,Great Value,  This device arrived when promised and works great.  It helps me monitor my heart rate and also my oxygen saturation levels in the blood....a good thing.
163,C. Davis,5.0,that this is very accurate,  i like this machine pretty well.could be larger for digital read out.our pa wanted us to have one on hand.this was a 5 star rated and costs$18.95 regular $38.00
164,Noah Gray,5.0,Everything I needed,"  I gave my old one to my parents when they got COVID, and this was a great replacement, really helped my wife track her symptoms when she came down with it."
165,k,1.0,Garbage,"                    The media could not be loaded.
                




   it worked for the first 5 minutes .... then shows all the time 99"
166,woolard!,5.0,Easy to use and just what I wanted.,  This product is easy to use and comes in a nice little case that can fit in a medium size pocket or pocketbook.  The filly is bright and very readable.
167,"Lucille Ball ""Nina""",5.0,Easy,  This is my second one. It’s very important to have an oximeter during this Covid times I priced them at my local pharmacy & they were twice the price!!
168,Just Planes,1.0,1 was broken,  1 of the 2 I bought didn't work!
169,Jo,2.0,Poorly  put together  Feels like it will fall apart.,  This monitor feels like it will fall apart.  I'm not sure how accurate it is because of this. I have used several that have by far sturdier than this one.  I don't expect it to last long.
170,Sumosha,1.0,Not reliable,"  If this device even bothers to show any values (it often just spins and then shuts off), it gives me wildly inaccurate results like 300 bpm. I can't rely on the results to be accurate."
171,Linda G,5.0,Peace of mind,"  I sent this to a niece who, along with her husband and teenage son, was sick with Covid 19 and made an emergency trip to urgent care.  After hearing this, I immediately ordered this monitor for her.  It arrived the very next day.  She called me to express thanks for the peace of mind it gave her."
172,"Daniel, K.CarterTuffy",1.0,not that good,  Sterted using it and readings were all over the place blood oxygen at 40 and pulse at 24 knew that was wrong so went back to a ZacUvac pro series. It has been consistent and matches my doctors.
173,Savingn321,4.0,As promised,  Santa Medical Pulse Oximeter seems to be accurate. I agree with other reviewers the grip could be a little stronger. The device is as expected and order arrived complete.
174,Anthony C.,5.0,Brought this to my Primary,  At first I thought it may be off BUT brought it to my primary doctors and tested it against their machine several times and it’s exact. I was impressed.
175,martin garozzo,5.0,Good product  easy to use higher quality than most others battery cover slips off frequently,  Liked the good  advanced quality  disliked the battery cover not  being secure lost one of these because the battery cover became missing and the pulse ox was not useable
176,Fran B,1.0,Junk!,"  Too loose compared to my old one, finger is not secure, not accurate compared to my daughter's.  Will probably return.  The price was too good to be true."
177,Merylu Ledesma,5.0,"Lov it , great to have in home","  Purchased it because of covid , very easy to use very small and lightweight can carry in purse or bags comes with a carry bag and lantern and uses two Triple-A batteries"
178,Tony B.,3.0,Not solidly built as others,  The hinge feels very easily breakable and feels very easily broken  unlike the ones used at the doctors office.  It works well but be gentle with it.
179,Leti T S,5.0,Oxygen monitor,  This oxygen monitor is easy to use and easy to read. Accuracy is good. I checked it against my fitness tracker and it matched. I bought it for my COVID Kit. I want to be prepared if we get it. I recommend. Price was good.
180,LW,5.0,Great buy!!!!!,  I bought this because my husband had covid and I needed to make sure his oxygen level did not get too low.  It was very accurate and precise.
181,Bill from 336,4.0,Nice screen,"  Very nice screen. Seems accurate, but I have no way to prove that other than matching it to an older unit. Good enough for home use."
182,Food Shopper,5.0,Nice Product,"  This item works well and is wasy to read. And it comes with batteries, which is nice. Plus it was delivered the same day. Amazing."
183,Amazon Customer,5.0,It was a great buy for my elderly parents.,  Purchase this item for my elderly parents. They didn’t not have any issues understanding how it worked. They seem to really like it.
184,Chris EDRN,5.0,Peace of mind!!,"  I am an ER nurse and I made this purchase shortly after contracting COVID and pneumonia, then my husband also got COVID. It gave me peace of mind having the ability to monitor our oxygen saturation from home as we recovered!"
185,Donald Dorley,5.0,It Works with an accurate reading,  This simple devise works and shuts off when not in use.I use it to keep my oxygen a heart rate  on record.It's small and easy to use and read.I am an 82 year old male.
186,Barb Cummings,1.0,DO NOT BUY!,  My husband just came home from hospital. We used this twice. Went to use this morning and no display at all. So I changed batteries still no display. This is important to have this working. What a piece of trash. Not very sturdy either.
187,PBS,5.0,Just what was needed,"  My first purchase of an pulse oximeter so really cannot compare to any others quality or expectations.  However, this item is what I needed to maintain my health needs."
188,Ken,5.0,Working well,"  I purchased this to replace another slightly cheaper monitor.  Seems that it is more consistent with what the doctor's office reported.  Only real problem was that the holes are too small to install the lanyard.  I don't need it, but if you do you might want to try another model."
189,Deborah A Kitsos,5.0,Easy to Use,  I used the the Pulse Oximeter within 5 minutes of receiving it.  This product arrived in a very timely manner and it is so easy to use.  Thanks for a great product!
190,M Hunter,5.0,Just received,"  Just received my oximeter, followed instructions and took my first reading and feel confident this is a good purchase."
191,TKay,5.0,Easy to use and accurate,  All you have to do is insert the batteries (included) and it is ready to go. I like the high contrast display--the numbers are very easy to read. It is a good tool to have on hand during these times of Covid-19.
192,Chris Duggin,1.0,Product was DOA,"  Product was DOA, Red LED powers on, but OLED screen does not. 1 star for the product, 5 stars for Amazon's customer service."
193,Deltoriasis,5.0,Works perfectly and is nice to have around.,"  This was easy to use, simple to read, and I love having it around just in case. Especially with the current pandemic."
194,Tonaya Smith,4.0,Takes a bit longer to acquire readings.,  Accuracy is fairly decent; although I've found this device is more sensitive to temperature of a person's hands. There are times readings will not be produced even when a patient's hands are decently warm. Straight forward to use and decent display. This pulse ox works well... when it works.
195,LikesToBike,5.0,Nicest one I've had so far,"  I had to replace an old one, and this is really nice- nice screen, adds the PI #, just all around one I'd recommend."
196,yenttrib,3.0,Eh,  Sometimes it doesnt read at all and other times it takes a while for the numbers stabilize. Wouldnt trust in an emergency situation.
197,C. Metzler,5.0,Excellent device,  My doctor recommended I purchase this when I was very sick with COVID-19. It was worth every penny. I still use it when anyone in our family is having an asthma attack.
198,John A. Roth,5.0,"Easy, Cost Effective",  Bought this when I tested positive for Covid as I knew a key vital was oxygen saturation.  Luckily no issues but it was great to have an affordable and easy way to ensure I was on top of it!
199,Jose A. Rico,5.0,Very useful,"  My family was seek and used to check on everybody, was a excellent tool to have under control de vitals of my wife."
200,Janie Wanie,5.0,Important for your health monitoring,  This is a must have especially during this COVID 19 pandemic.  I’m confident that I will know if my lungs become compromised and I need medical intervention.
201,Sandeep Sharma,1.0,Wouldn't detect the finger,  Many times did not even detect the finger. We returned it.
202,kindlecaretoday,3.0,Blood oxygen meter,  Works well but the literature does not explain what all of the numbers are for and what is a normal range
203,Julie B.,5.0,Easy to Use,  I have breathing problems and this helps me know when I'm bad and is helping me figure out what helps me breathe.
204,Speechless,2.0,Trash,  Two months and this thing is trashed.  Falling apart.  Works when it wants to.  Can't trust the accuracy.
205,Lori,5.0,Great pulse ox meter.,  Great pulse ox meter. Seems to be accurate and pretty lightweight. Great addition to blood pressure monitor and digital thermometer especially with covid right now.
206,NJ buyer,5.0,Fun little device,"  I do not know how accurate the O2 monitor is, but it's easy to use. The heart rate monitor is accurate and works quickly."
207,GreytMom,5.0,Fast and easy to use,  Bought this due to covid hitting our house and we have asthma. It was super easy to use and shows your stats in real time. No setup needed.
